Event_ID,Product_ID,Submission_ID,Lifecycle_Stage,Stage_Order,Stage_Start_Date,Stage_End_Date,Stage_Duration_Days,Event_Status
936631,102326,506106,Development,1,2024-12-05,2025-03-11,96.1,Completed
936632,102326,506106,Submission Preparation,2,2025-03-11,2025-04-29,49.8,Completed
936633,102326,506106,Regulatory Submission,3,2025-04-29,2025-05-21,22.8,Completed
936634,102326,506106,Regulatory Review,4,2025-05-22,2025-07-26,65.6,Completed
936635,102326,506106,Approval,5,2025-07-27,2025-08-07,11.5,In Progress
936636,102326,506106,Post-Market Monitoring,6,2025-08-07,2025-11-13,98.2,In Progress
936637,104019,506107,Development,1,2022-04-10,2022-08-08,120.4,Completed
936638,104019,506107,Submission Preparation,2,2022-08-08,2022-09-22,45.4,Completed
936639,104019,506107,Regulatory Submission,3,2022-09-22,2022-09-28,6.8,Completed
936640,104019,506107,Regulatory Review,4,2022-09-29,2022-12-10,72.2,Completed
936641,104019,506107,Approval,5,2022-12-10,2022-12-19,9.3,Completed
936642,104019,506107,Post-Market Monitoring,6,2022-12-20,2023-03-17,87.0,Completed
936643,108394,506108,Development,1,2023-05-14,2023-08-20,98.8,Completed
936644,108394,506108,Submission Preparation,2,2023-08-20,2023-10-11,52.2,Completed
936645,108394,506108,Regulatory Submission,3,2023-10-12,2023-10-23,11.7,Completed
936646,108394,506108,Regulatory Review,4,2023-10-23,2024-01-29,98.2,Completed
936647,108394,506108,Approval,5,2024-01-29,2024-02-22,24.3,Completed
936648,108394,506108,Post-Market Monitoring,6,2024-02-23,2024-04-23,60.9,Completed
936649,106305,506109,Development,1,2024-12-08,2025-03-07,89.9,Completed
936650,106305,506109,Submission Preparation,2,2025-03-07,2025-04-15,39.5,Completed
936651,106305,506109,Regulatory Submission,3,2025-04-16,2025-04-28,12.3,Completed
936652,106305,506109,Regulatory Review,4,2025-04-28,2025-06-25,58.4,Completed
936653,106305,506109,Approval,5,2025-06-26,2025-07-10,14.9,Completed
936654,106305,506109,Post-Market Monitoring,6,2025-07-11,2025-11-08,120.9,Completed
936655,113291,506110,Development,1,2022-06-25,2022-09-16,83.7,Completed
936656,113291,506110,Submission Preparation,2,2022-09-16,2022-11-14,59.8,Completed
936657,113291,506110,Regulatory Submission,3,2022-11-15,2022-11-26,11.0,Completed
936658,113291,506110,Regulatory Review,4,2022-11-26,2023-03-13,107.7,Completed
936659,113291,506110,Approval,5,2023-03-14,2023-04-03,20.6,Completed
936660,113291,506110,Post-Market Monitoring,6,2023-04-03,2023-06-18,76.6,Completed
936661,114315,506111,Development,1,2022-09-27,2022-12-30,94.7,Completed
936662,114315,506111,Submission Preparation,2,2022-12-30,2023-03-01,61.5,Completed
936663,114315,506111,Regulatory Submission,3,2023-03-02,2023-03-14,12.1,Completed
936664,114315,506111,Regulatory Review,4,2023-03-14,2023-06-23,101.2,Completed
936665,114315,506111,Approval,5,2023-06-23,2023-07-06,13.6,In Progress
936666,114315,506111,Post-Market Monitoring,6,2023-07-07,2023-11-04,120.1,In Progress
936667,102444,506112,Development,1,2022-12-16,2023-04-27,132.9,Completed
936668,102444,506112,Submission Preparation,2,2023-04-27,2023-06-04,38.8,Completed
936669,102444,506112,Regulatory Submission,3,2023-06-05,2023-06-11,6.0,Completed
936670,102444,506112,Regulatory Review,4,2023-06-11,2023-08-03,53.1,Completed
936671,102444,506112,Approval,5,2023-08-03,2023-08-19,16.6,Completed
936672,102444,506112,Post-Market Monitoring,6,2023-08-20,2023-09-30,41.9,Completed
936673,114305,506113,Development,1,2022-05-06,2022-08-13,99.8,Completed
936674,114305,506113,Submission Preparation,2,2022-08-13,2022-10-14,62.5,Completed
936675,114305,506113,Regulatory Submission,3,2022-10-15,2022-10-24,9.1,Completed
936676,114305,506113,Regulatory Review,4,2022-10-24,2022-12-21,58.5,Completed
936677,114305,506113,Approval,5,2022-12-21,2022-12-23,2.0,Completed
936678,114305,506113,Post-Market Monitoring,6,2022-12-23,2023-04-28,126.0,Completed
936679,112862,506114,Development,1,2024-10-18,2025-02-14,119.6,Completed
936680,112862,506114,Submission Preparation,2,2025-02-14,2025-03-01,15.4,Completed
936681,112862,506114,Regulatory Submission,3,2025-03-02,2025-03-17,15.5,Completed
936682,112862,506114,Regulatory Review,4,2025-03-17,2025-06-01,76.4,Completed
936683,112862,506114,Approval,5,2025-06-01,2025-06-11,10.0,In Progress
936684,112862,506114,Post-Market Monitoring,6,2025-06-11,2025-08-15,65.1,In Progress
936685,104143,506115,Development,1,2023-04-15,2023-09-11,149.7,Completed
936686,104143,506115,Submission Preparation,2,2023-09-11,2023-10-29,48.6,Completed
936687,104143,506115,Regulatory Submission,3,2023-10-30,2023-11-03,4.2,Completed
936688,104143,506115,Regulatory Review,4,2023-11-03,2023-12-15,42.2,Completed
936689,104143,506115,Approval,5,2023-12-15,2023-12-24,9.8,Completed
936690,104143,506115,Post-Market Monitoring,6,2023-12-25,2024-04-17,114.8,Completed
936691,101243,506116,Development,1,2024-04-26,2024-08-14,110.3,Completed
936692,101243,506116,Submission Preparation,2,2024-08-14,2024-09-14,31.4,Completed
936693,101243,506116,Regulatory Submission,3,2024-09-14,2024-09-30,16.5,Completed
936694,101243,506116,Regulatory Review,4,2024-10-01,2025-01-08,99.2,Completed
936695,101243,506116,Approval,5,2025-01-08,2025-01-26,18.9,Completed
936696,101243,506116,Post-Market Monitoring,6,2025-01-27,2025-04-21,84.1,Completed
936697,105735,506117,Development,1,2024-05-03,2024-10-28,178.0,Completed
936698,105735,506117,Submission Preparation,2,2024-10-28,2024-12-13,46.2,Completed
936699,105735,506117,Regulatory Submission,3,2024-12-13,2024-12-28,15.8,Completed
936700,105735,506117,Regulatory Review,4,2024-12-29,2025-04-18,110.5,Completed
936701,105735,506117,Approval,5,2025-04-18,2025-05-02,14.0,Completed
936702,105735,506117,Post-Market Monitoring,6,2025-05-02,2025-08-03,93.6,Completed
936703,114449,506118,Development,1,2023-05-11,2023-09-06,118.6,Completed
936704,114449,506118,Submission Preparation,2,2023-09-06,2023-10-15,39.7,Completed
936705,114449,506118,Regulatory Submission,3,2023-10-16,2023-10-23,7.9,Completed
936706,114449,506118,Regulatory Review,4,2023-10-24,2023-12-10,47.5,Completed
936707,114449,506118,Approval,5,2023-12-10,2023-12-23,13.4,Completed
936708,114449,506118,Post-Market Monitoring,6,2023-12-24,2024-02-18,56.9,Completed
936709,100303,506119,Development,1,2023-08-06,2023-10-31,86.3,Completed
936710,100303,506119,Submission Preparation,2,2023-10-31,2023-12-14,44.4,Completed
936711,100303,506119,Regulatory Submission,3,2023-12-14,2023-12-29,15.6,Completed
936712,100303,506119,Regulatory Review,4,2023-12-30,2024-02-10,42.0,Completed
936713,100303,506119,Approval,5,2024-02-10,2024-02-28,18.7,Completed
936714,100303,506119,Post-Market Monitoring,6,2024-02-28,2024-05-13,75.9,Completed
936715,114476,506120,Development,1,2023-06-02,2023-10-30,150.1,Completed
936716,114476,506120,Submission Preparation,2,2023-10-30,2023-12-11,42.4,Completed
936717,114476,506120,Regulatory Submission,3,2023-12-11,2023-12-23,12.4,Completed
936718,114476,506120,Regulatory Review,4,2023-12-23,2024-03-13,81.2,Completed
936719,114476,506120,Approval,5,2024-03-14,2024-03-23,9.7,Completed
936720,114476,506120,Post-Market Monitoring,6,2024-03-23,2024-05-31,69.0,Completed
936721,103490,506121,Development,1,2022-10-31,2023-03-23,143.0,Completed
936722,103490,506121,Submission Preparation,2,2023-03-23,2023-04-25,33.9,Completed
936723,103490,506121,Regulatory Submission,3,2023-04-25,2023-05-06,11.9,Completed
936724,103490,506121,Regulatory Review,4,2023-05-07,2023-08-05,90.5,Completed
936725,103490,506121,Approval,5,2023-08-06,2023-08-18,12.9,Completed
936726,103490,506121,Post-Market Monitoring,6,2023-08-19,2023-11-24,97.0,Completed
936727,114760,506122,Development,1,2024-08-15,2025-02-13,182.0,Completed
936728,114760,506122,Submission Preparation,2,2025-02-13,2025-03-17,32.5,Completed
936729,114760,506122,Regulatory Submission,3,2025-03-17,2025-03-24,7.1,Completed
936730,114760,506122,Regulatory Review,4,2025-03-24,2025-05-05,42.4,Completed
936731,114760,506122,Approval,5,2025-05-06,2025-05-23,17.8,Completed
936732,114760,506122,Post-Market Monitoring,6,2025-05-23,2025-06-28,36.0,Completed
936733,108292,506123,Development,1,2024-08-08,2024-12-11,125.1,Completed
936734,108292,506123,Submission Preparation,2,2024-12-11,2025-01-27,47.5,Completed
936735,108292,506123,Regulatory Submission,3,2025-01-27,2025-02-09,13.3,Completed
936736,108292,506123,Regulatory Review,4,2025-02-09,2025-04-28,78.7,Completed
936737,108292,506123,Approval,5,2025-04-29,2025-05-18,19.4,Completed
936738,108292,506123,Post-Market Monitoring,6,2025-05-19,2025-09-04,108.7,Completed
936739,105111,506124,Development,1,2023-01-15,2023-05-08,113.1,Completed
936740,105111,506124,Submission Preparation,2,2023-05-08,2023-06-21,44.8,Completed
936741,105111,506124,Regulatory Submission,3,2023-06-21,2023-07-01,10.2,Completed
936742,105111,506124,Regulatory Review,4,2023-07-02,2023-09-19,79.0,Completed
936743,105111,506124,Approval,5,2023-09-19,2023-10-02,13.9,Completed
936744,105111,506124,Post-Market Monitoring,6,2023-10-02,2024-02-19,140.7,Completed
936745,109795,506125,Development,1,2024-12-09,2025-03-16,97.3,Completed
936746,109795,506125,Submission Preparation,2,2025-03-16,2025-05-07,52.2,Completed
936747,109795,506125,Regulatory Submission,3,2025-05-07,2025-05-14,7.3,Completed
936748,109795,506125,Regulatory Review,4,2025-05-14,2025-07-25,72.3,Completed
936749,109795,506125,Approval,5,2025-07-26,2025-08-13,18.0,In Progress
936750,109795,506125,Post-Market Monitoring,6,2025-08-13,2025-09-07,25.2,In Progress
936751,112804,506126,Development,1,2024-07-25,2024-10-26,93.6,Completed
936752,112804,506126,Submission Preparation,2,2024-10-26,2024-11-25,30.4,Completed
936753,112804,506126,Regulatory Submission,3,2024-11-26,2024-12-10,14.8,Completed
936754,112804,506126,Regulatory Review,4,2024-12-10,2025-03-02,82.5,Completed
936755,112804,506126,Approval,5,2025-03-03,2025-03-22,19.2,Completed
936756,112804,506126,Post-Market Monitoring,6,2025-03-22,2025-05-28,67.8,Completed
936757,104943,506127,Development,1,2024-02-23,2024-06-26,124.8,Completed
936758,104943,506127,Submission Preparation,2,2024-06-26,2024-08-16,51.2,Completed
936759,104943,506127,Regulatory Submission,3,2024-08-17,2024-08-25,8.4,Completed
936760,104943,506127,Regulatory Review,4,2024-08-25,2024-11-12,79.8,Completed
936761,104943,506127,Approval,5,2024-11-13,2024-11-24,11.4,Completed
936762,104943,506127,Post-Market Monitoring,6,2024-11-24,2025-01-24,61.7,Completed
936763,105151,506128,Development,1,2024-02-03,2024-04-17,74.3,Completed
936764,105151,506128,Submission Preparation,2,2024-04-17,2024-06-18,62.4,Completed
936765,105151,506128,Regulatory Submission,3,2024-06-18,2024-06-29,11.9,Completed
936766,105151,506128,Regulatory Review,4,2024-06-30,2024-10-09,101.2,Completed
936767,105151,506128,Approval,5,2024-10-09,2024-10-30,21.0,Completed
936768,105151,506128,Post-Market Monitoring,6,2024-10-30,2025-01-27,89.1,Completed
936769,110185,506129,Development,1,2022-01-09,2022-05-13,124.1,Completed
936770,110185,506129,Submission Preparation,2,2022-05-13,2022-06-28,46.4,Completed
936771,110185,506129,Regulatory Submission,3,2022-06-28,2022-07-01,3.7,Completed
936772,110185,506129,Regulatory Review,4,2022-07-02,2022-08-22,51.0,Completed
936773,110185,506129,Approval,5,2022-08-22,2022-09-10,19.3,In Progress
936774,110185,506129,Post-Market Monitoring,6,2022-09-10,2023-01-09,121.8,In Progress
936775,101515,506130,Development,1,2024-05-03,2024-08-23,112.9,Completed
936776,101515,506130,Submission Preparation,2,2024-08-23,2024-10-02,40.0,Completed
936777,101515,506130,Regulatory Submission,3,2024-10-02,2024-10-08,6.8,Completed
936778,101515,506130,Regulatory Review,4,2024-10-09,2024-12-13,65.0,Completed
936779,101515,506130,Approval,5,2024-12-13,2024-12-22,9.9,Completed
936780,101515,506130,Post-Market Monitoring,6,2024-12-23,2025-03-13,80.4,Completed
936781,110398,506131,Development,1,2024-05-06,2024-08-05,91.8,Completed
936782,110398,506131,Submission Preparation,2,2024-08-05,2024-09-11,37.8,Completed
936783,110398,506131,Regulatory Submission,3,2024-09-12,2024-09-22,10.0,Completed
936784,110398,506131,Regulatory Review,4,2024-09-22,2024-11-19,58.8,Completed
936785,110398,506131,Approval,5,2024-11-20,2024-12-05,15.0,Completed
936786,110398,506131,Post-Market Monitoring,6,2024-12-05,2025-02-05,62.5,Completed
936787,106468,506132,Development,1,2022-03-12,2022-07-16,126.8,Completed
936788,106468,506132,Submission Preparation,2,2022-07-16,2022-08-07,22.7,Completed
936789,106468,506132,Regulatory Submission,3,2022-08-08,2022-08-15,7.9,Completed
936790,106468,506132,Regulatory Review,4,2022-08-16,2022-10-18,63.5,Completed
936791,106468,506132,Approval,5,2022-10-18,2022-10-29,11.8,Completed
936792,106468,506132,Post-Market Monitoring,6,2022-10-30,2023-02-11,104.2,Completed
936793,104187,506133,Development,1,2022-01-15,2022-07-20,186.3,Completed
936794,104187,506133,Submission Preparation,2,2022-07-20,2022-08-15,26.9,Completed
936795,104187,506133,Regulatory Submission,3,2022-08-16,2022-08-25,9.9,Completed
936796,104187,506133,Regulatory Review,4,2022-08-26,2022-11-16,82.5,Completed
936797,104187,506133,Approval,5,2022-11-16,2022-12-01,15.2,In Progress
936798,104187,506133,Post-Market Monitoring,6,2022-12-01,2023-01-21,51.4,In Progress
936799,112032,506134,Development,1,2023-08-30,2024-01-30,153.2,Completed
936800,112032,506134,Submission Preparation,2,2024-01-30,2024-03-05,35.2,Completed
936801,112032,506134,Regulatory Submission,3,2024-03-05,2024-03-19,14.0,Completed
936802,112032,506134,Regulatory Review,4,2024-03-19,2024-05-27,69.9,Completed
936803,112032,506134,Approval,5,2024-05-28,2024-06-05,8.8,Completed
936804,112032,506134,Post-Market Monitoring,6,2024-06-06,2024-08-23,78.7,Completed
936805,109284,506135,Development,1,2024-05-20,2024-10-07,140.2,Completed
936806,109284,506135,Submission Preparation,2,2024-10-07,2024-11-22,46.3,Completed
936807,109284,506135,Regulatory Submission,3,2024-11-22,2024-12-05,13.1,Completed
936808,109284,506135,Regulatory Review,4,2024-12-05,2025-01-14,40.6,Completed
936809,109284,506135,Approval,5,2025-01-15,2025-01-30,15.3,Completed
936810,109284,506135,Post-Market Monitoring,6,2025-01-30,2025-05-02,92.5,Completed
936811,100367,506136,Development,1,2024-12-11,2025-04-28,138.6,Completed
936812,100367,506136,Submission Preparation,2,2025-04-28,2025-06-21,54.7,Completed
936813,100367,506136,Regulatory Submission,3,2025-06-22,2025-07-08,16.7,Completed
936814,100367,506136,Regulatory Review,4,2025-07-09,2025-08-06,28.0,Completed
936815,100367,506136,Approval,5,2025-08-06,2025-08-18,12.4,Completed
936816,100367,506136,Post-Market Monitoring,6,2025-08-18,2025-10-07,50.9,Completed
936817,114352,506137,Development,1,2022-11-22,2023-03-07,105.2,Completed
936818,114352,506137,Submission Preparation,2,2023-03-07,2023-04-15,39.0,Completed
936819,114352,506137,Regulatory Submission,3,2023-04-15,2023-04-28,13.6,Completed
936820,114352,506137,Regulatory Review,4,2023-04-28,2023-08-12,106.1,Completed
936821,114352,506137,Approval,5,2023-08-12,2023-09-06,25.9,Completed
936822,114352,506137,Post-Market Monitoring,6,2023-09-07,2023-12-14,98.7,Completed
936823,106616,506138,Development,1,2024-10-06,2025-02-21,138.6,Completed
936824,106616,506138,Submission Preparation,2,2025-02-21,2025-04-17,55.5,Completed
936825,106616,506138,Regulatory Submission,3,2025-04-18,2025-04-28,10.7,Completed
936826,106616,506138,Regulatory Review,4,2025-04-28,2025-07-10,73.6,Completed
936827,106616,506138,Approval,5,2025-07-11,2025-07-31,20.4,Completed
936828,106616,506138,Post-Market Monitoring,6,2025-07-31,2025-10-02,63.1,Completed
936829,100046,506139,Development,1,2024-03-05,2024-06-30,117.3,Completed
936830,100046,506139,Submission Preparation,2,2024-06-30,2024-07-19,19.0,Completed
936831,100046,506139,Regulatory Submission,3,2024-07-19,2024-08-08,20.2,Completed
936832,100046,506139,Regulatory Review,4,2024-08-08,2024-11-03,87.7,Completed
936833,100046,506139,Approval,5,2024-11-04,2024-11-22,18.3,In Progress
936834,100046,506139,Post-Market Monitoring,6,2024-11-22,2025-01-09,48.3,In Progress
936835,109043,506140,Development,1,2024-07-13,2024-11-25,135.7,Completed
936836,109043,506140,Submission Preparation,2,2024-11-25,2025-01-06,42.4,Completed
936837,109043,506140,Regulatory Submission,3,2025-01-07,2025-01-17,10.9,Completed
936838,109043,506140,Regulatory Review,4,2025-01-18,2025-04-10,82.4,Completed
936839,109043,506140,Approval,5,2025-04-10,2025-04-20,10.5,Completed
936840,109043,506140,Post-Market Monitoring,6,2025-04-20,2025-09-07,140.3,Completed
936841,105198,506141,Development,1,2022-12-30,2023-05-06,127.6,Completed
936842,105198,506141,Submission Preparation,2,2023-05-06,2023-06-17,42.1,Completed
936843,105198,506141,Regulatory Submission,3,2023-06-17,2023-06-21,4.7,Completed
936844,105198,506141,Regulatory Review,4,2023-06-22,2023-09-25,95.3,Completed
936845,105198,506141,Approval,5,2023-09-25,2023-10-12,17.8,In Progress
936846,105198,506141,Post-Market Monitoring,6,2023-10-13,2024-01-23,102.9,In Progress
936847,112234,506142,Development,1,2023-11-09,2024-02-03,86.5,Completed
936848,112234,506142,Submission Preparation,2,2024-02-03,2024-03-25,51.9,Completed
936849,112234,506142,Regulatory Submission,3,2024-03-26,2024-04-06,11.6,Completed
936850,112234,506142,Regulatory Review,4,2024-04-07,2024-06-03,57.9,Completed
936851,112234,506142,Approval,5,2024-06-03,2024-06-21,18.5,In Progress
936852,112234,506142,Post-Market Monitoring,6,2024-06-22,2024-09-12,82.8,In Progress
936853,110229,506143,Development,1,2024-08-17,2024-11-30,105.0,Completed
936854,110229,506143,Submission Preparation,2,2024-11-30,2025-01-01,32.7,Completed
936855,110229,506143,Regulatory Submission,3,2025-01-01,2025-01-13,12.2,Completed
936856,110229,506143,Regulatory Review,4,2025-01-13,2025-02-28,46.4,Completed
936857,110229,506143,Approval,5,2025-03-01,2025-03-22,21.4,Completed
936858,110229,506143,Post-Market Monitoring,6,2025-03-22,2025-06-06,76.5,Completed
936859,103742,506144,Development,1,2024-10-27,2025-01-14,79.9,Completed
936860,103742,506144,Submission Preparation,2,2025-01-14,2025-02-13,30.5,Completed
936861,103742,506144,Regulatory Submission,3,2025-02-14,2025-02-28,14.6,Completed
936862,103742,506144,Regulatory Review,4,2025-03-01,2025-05-17,77.2,Completed
936863,103742,506144,Approval,5,2025-05-17,2025-05-28,11.2,Completed
936864,103742,506144,Post-Market Monitoring,6,2025-05-28,2025-08-28,92.6,Completed
936865,113229,506145,Development,1,2024-12-21,2025-03-28,97.8,Completed
936866,113229,506145,Submission Preparation,2,2025-03-28,2025-05-04,37.7,Completed
936867,113229,506145,Regulatory Submission,3,2025-05-05,2025-05-17,12.8,Completed
936868,113229,506145,Regulatory Review,4,2025-05-18,2025-07-15,58.1,Completed
936869,113229,506145,Approval,5,2025-07-15,2025-07-29,14.8,In Progress
936870,113229,506145,Post-Market Monitoring,6,2025-07-30,2025-09-30,62.3,In Progress
936871,101646,506146,Development,1,2023-06-08,2023-10-03,117.4,Completed
936872,101646,506146,Submission Preparation,2,2023-10-03,2023-11-23,51.5,Completed
936873,101646,506146,Regulatory Submission,3,2023-11-23,2023-11-30,7.0,Completed
936874,101646,506146,Regulatory Review,4,2023-11-30,2024-03-17,108.4,Completed
936875,101646,506146,Approval,5,2024-03-18,2024-03-29,11.8,In Progress
936876,101646,506146,Post-Market Monitoring,6,2024-03-30,2024-07-01,93.7,In Progress
936877,105238,506147,Development,1,2022-11-07,2023-03-23,136.3,Completed
936878,105238,506147,Submission Preparation,2,2023-03-23,2023-05-13,51.0,Completed
936879,105238,506147,Regulatory Submission,3,2023-05-13,2023-05-19,6.5,Completed
936880,105238,506147,Regulatory Review,4,2023-05-19,2023-08-18,91.6,Completed
936881,105238,506147,Approval,5,2023-08-19,2023-09-07,19.2,In Progress
936882,105238,506147,Post-Market Monitoring,6,2023-09-07,2023-11-15,69.9,In Progress
936883,103041,506148,Development,1,2022-04-09,2022-07-21,103.6,Completed
936884,103041,506148,Submission Preparation,2,2022-07-21,2022-08-26,36.8,Completed
936885,103041,506148,Regulatory Submission,3,2022-08-27,2022-09-04,8.7,Completed
936886,103041,506148,Regulatory Review,4,2022-09-05,2022-12-09,95.1,Completed
936887,103041,506148,Approval,5,2022-12-09,2022-12-22,13.4,Completed
936888,103041,506148,Post-Market Monitoring,6,2022-12-22,2023-03-12,80.6,Completed
936889,103458,506149,Development,1,2022-02-02,2022-05-14,101.3,Completed
936890,103458,506149,Submission Preparation,2,2022-05-14,2022-06-27,44.3,Completed
936891,103458,506149,Regulatory Submission,3,2022-06-27,2022-07-16,19.6,Completed
936892,103458,506149,Regulatory Review,4,2022-07-17,2022-11-02,108.0,Completed
936893,103458,506149,Approval,5,2022-11-02,2022-11-14,12.9,Completed
936894,103458,506149,Post-Market Monitoring,6,2022-11-15,2023-03-18,123.3,Completed
936895,109184,506150,Development,1,2023-12-22,2024-05-27,157.3,Completed
936896,109184,506150,Submission Preparation,2,2024-05-27,2024-08-02,67.7,Completed
936897,109184,506150,Regulatory Submission,3,2024-08-03,2024-08-18,15.2,Completed
936898,109184,506150,Regulatory Review,4,2024-08-18,2024-12-02,106.7,Completed
936899,109184,506150,Approval,5,2024-12-02,2024-12-08,6.1,Completed
936900,109184,506150,Post-Market Monitoring,6,2024-12-09,2025-03-12,93.6,Completed
936901,112029,506151,Development,1,2024-10-01,2024-10-27,26.3,Completed
936902,112029,506151,Submission Preparation,2,2024-10-27,2024-11-29,33.8,Completed
936903,112029,506151,Regulatory Submission,3,2024-11-30,2024-12-13,13.9,Completed
936904,112029,506151,Regulatory Review,4,2024-12-14,2025-02-19,67.2,Completed
936905,112029,506151,Approval,5,2025-02-19,2025-03-09,18.7,Completed
936906,112029,506151,Post-Market Monitoring,6,2025-03-09,2025-06-06,89.9,Completed
936907,109271,506152,Development,1,2023-12-06,2024-03-21,106.3,Completed
936908,109271,506152,Submission Preparation,2,2024-03-21,2024-04-23,33.7,Completed
936909,109271,506152,Regulatory Submission,3,2024-04-24,2024-04-30,6.9,Completed
936910,109271,506152,Regulatory Review,4,2024-04-30,2024-07-09,70.6,Completed
936911,109271,506152,Approval,5,2024-07-10,2024-07-16,6.9,Completed
936912,109271,506152,Post-Market Monitoring,6,2024-07-17,2024-08-29,43.6,Completed
936913,100511,506153,Development,1,2023-11-29,2024-03-20,112.6,Completed
936914,100511,506153,Submission Preparation,2,2024-03-20,2024-05-10,51.6,Completed
936915,100511,506153,Regulatory Submission,3,2024-05-11,2024-05-21,10.4,Completed
936916,100511,506153,Regulatory Review,4,2024-05-21,2024-09-07,109.4,Completed
936917,100511,506153,Approval,5,2024-09-08,2024-09-19,11.0,In Progress
936918,100511,506153,Post-Market Monitoring,6,2024-09-19,2024-12-08,80.5,In Progress
936919,105400,506154,Development,1,2024-05-01,2024-08-29,120.3,Completed
936920,105400,506154,Submission Preparation,2,2024-08-29,2024-10-24,56.9,Completed
936921,105400,506154,Regulatory Submission,3,2024-10-25,2024-11-08,14.6,Completed
936922,105400,506154,Regulatory Review,4,2024-11-08,2025-02-12,96.6,Completed
936923,105400,506154,Approval,5,2025-02-13,2025-02-20,7.8,Completed
936924,105400,506154,Post-Market Monitoring,6,2025-02-21,2025-05-11,79.0,Completed
936925,108529,506155,Development,1,2024-04-08,2024-08-03,117.5,Completed
936926,108529,506155,Submission Preparation,2,2024-08-03,2024-10-06,64.3,Completed
936927,108529,506155,Regulatory Submission,3,2024-10-06,2024-10-14,8.4,Completed
936928,108529,506155,Regulatory Review,4,2024-10-15,2024-12-05,51.3,Completed
936929,108529,506155,Approval,5,2024-12-05,2024-12-22,17.2,Completed
936930,108529,506155,Post-Market Monitoring,6,2024-12-22,2025-04-23,122.9,Completed
936931,107761,506156,Development,1,2023-01-29,2023-06-29,151.4,Completed
936932,107761,506156,Submission Preparation,2,2023-06-29,2023-08-09,41.9,Completed
936933,107761,506156,Regulatory Submission,3,2023-08-10,2023-08-26,16.1,Completed
936934,107761,506156,Regulatory Review,4,2023-08-26,2023-12-08,104.5,Completed
936935,107761,506156,Approval,5,2023-12-08,2023-12-19,11.6,Completed
936936,107761,506156,Post-Market Monitoring,6,2023-12-20,2024-02-25,67.8,Completed
936937,107297,506157,Development,1,2024-08-29,2024-11-27,90.1,Completed
936938,107297,506157,Submission Preparation,2,2024-11-27,2025-01-25,59.2,Completed
936939,107297,506157,Regulatory Submission,3,2025-01-25,2025-02-12,18.8,Completed
936940,107297,506157,Regulatory Review,4,2025-02-13,2025-05-31,107.9,Completed
936941,107297,506157,Approval,5,2025-06-01,2025-06-15,14.9,Completed
936942,107297,506157,Post-Market Monitoring,6,2025-06-15,2025-08-20,66.7,Completed
936943,105596,506158,Development,1,2024-02-12,2024-06-17,126.0,Completed
936944,105596,506158,Submission Preparation,2,2024-06-17,2024-07-31,44.9,Completed
936945,105596,506158,Regulatory Submission,3,2024-07-31,2024-08-17,17.2,Completed
936946,105596,506158,Regulatory Review,4,2024-08-18,2024-11-16,90.9,Completed
936947,105596,506158,Approval,5,2024-11-17,2024-12-02,15.9,Completed
936948,105596,506158,Post-Market Monitoring,6,2024-12-02,2025-02-26,86.7,Completed
936949,101945,506159,Development,1,2024-11-09,2025-02-19,102.9,Completed
936950,101945,506159,Submission Preparation,2,2025-02-19,2025-04-24,64.9,Completed
936951,101945,506159,Regulatory Submission,3,2025-04-25,2025-05-08,13.9,Completed
936952,101945,506159,Regulatory Review,4,2025-05-09,2025-08-10,93.8,Completed
936953,101945,506159,Approval,5,2025-08-11,2025-08-21,10.9,In Progress
936954,101945,506159,Post-Market Monitoring,6,2025-08-22,2025-11-10,80.1,In Progress
936955,101362,506160,Development,1,2022-12-31,2023-04-30,120.1,Completed
936956,101362,506160,Submission Preparation,2,2023-04-30,2023-06-19,50.5,Completed
936957,101362,506160,Regulatory Submission,3,2023-06-19,2023-07-02,13.2,Completed
936958,101362,506160,Regulatory Review,4,2023-07-02,2023-09-18,78.4,Completed
936959,101362,506160,Approval,5,2023-09-19,2023-10-03,14.4,In Progress
936960,101362,506160,Post-Market Monitoring,6,2023-10-03,2024-01-01,90.2,In Progress
936961,100102,506161,Development,1,2024-01-31,2024-05-10,100.8,Completed
936962,100102,506161,Submission Preparation,2,2024-05-10,2024-06-24,45.0,Completed
936963,100102,506161,Regulatory Submission,3,2024-06-24,2024-07-08,14.6,Completed
936964,100102,506161,Regulatory Review,4,2024-07-09,2024-09-01,54.2,Completed
936965,100102,506161,Approval,5,2024-09-01,2024-10-01,30.2,Completed
936966,100102,506161,Post-Market Monitoring,6,2024-10-01,2024-12-11,71.7,Completed
936967,101350,506162,Development,1,2024-04-16,2024-07-29,104.4,Completed
936968,101350,506162,Submission Preparation,2,2024-07-29,2024-09-20,53.7,Completed
936969,101350,506162,Regulatory Submission,3,2024-09-21,2024-10-04,13.5,Completed
936970,101350,506162,Regulatory Review,4,2024-10-04,2024-12-19,76.7,Completed
936971,101350,506162,Approval,5,2024-12-20,2025-01-07,18.9,Completed
936972,101350,506162,Post-Market Monitoring,6,2025-01-08,2025-04-20,102.1,Completed
936973,111349,506163,Development,1,2023-09-04,2023-12-07,94.5,Completed
936974,111349,506163,Submission Preparation,2,2023-12-07,2024-02-16,71.6,Completed
936975,111349,506163,Regulatory Submission,3,2024-02-17,2024-02-28,11.3,Completed
936976,111349,506163,Regulatory Review,4,2024-02-28,2024-04-29,61.2,Completed
